routenum,eta,distance,route,time
2,"38 min","33.6 miles","I-95 N; Jefferson Davis Hwy Woodbridge","Wed Sep 26 13:10:31 2018"
1,"32 min","33.3 miles","I-95 N","Wed Sep 26 13:10:43 2018"
2,"38 min","33.6 miles","I-95 N; Jefferson Davis Hwy Woodbridge","Wed Sep 26 13:10:43 2018"
1,"32 min","33.3 miles","I-95 N","Wed Sep 26 13:10:56 2018"
2,"38 min","33.6 miles","I-95 N; Jefferson Davis Hwy Woodbridge","Wed Sep 26 13:10:56 2018"
1,"32 min","33.3 miles","I-95 N","Wed Sep 26 13:11:09 2018"
2,"38 min","33.6 miles","I-95 N; Jefferson Davis Hwy Woodbridge","Wed Sep 26 13:11:09 2018"
1,"32 min","33.3 miles","I-95 N","Wed Sep 26 13:11:23 2018"
2,"38 min","33.6 miles","I-95 N; Jefferson Davis Hwy Woodbridge","Wed Sep 26 13:11:23 2018"
1,"32 min","33.3 miles","I-95 N","Wed Sep 26 13:11:35 2018"
2,"38 min","33.6 miles","I-95 N; Jefferson Davis Hwy Woodbridge","Wed Sep 26 13:11:35 2018"
1,"32 min","33.3 miles","I-95 N","Wed Sep 26 13:11:47 2018"
2,"38 min","33.6 miles","I-95 N; Jefferson Davis Hwy Woodbridge","Wed Sep 26 13:11:47 2018"
1,"32 min","33.3 miles","I-95 N","Wed Sep 26 13:11:59 2018"
2,"38 min","33.6 miles","I-95 N; Jefferson Davis Hwy Woodbridge","Wed Sep 26 13:11:59 2018"
1,"32 min","33.3 miles","I-95 N","Wed Sep 26 13:12:11 2018"
2,"38 min","33.6 miles","I-95 N; Jefferson Davis Hwy Woodbridge","Wed Sep 26 13:12:11 2018"
1,"32 min","33.3 miles","I-95 N","Wed Sep 26 13:12:23 2018"
2,"38 min","33.6 miles","I-95 N; Jefferson Davis Hwy Woodbridge","Wed Sep 26 13:12:23 2018"
1,"32 min","33.3 miles","I-95 N","Wed Sep 26 13:12:36 2018"
2,"38 min","33.6 miles","I-95 N; Jefferson Davis Hwy Woodbridge","Wed Sep 26 13:12:36 2018"
1,"32 min","33.3 miles","I-95 N","Wed Sep 26 13:12:48 2018"
2,"38 min","33.6 miles","I-95 N; Jefferson Davis Hwy Woodbridge","Wed Sep 26 13:12:48 2018"
1,"32 min","33.3 miles","I-95 N","Wed Sep 26 13:13:01 2018"
2,"38 min","33.6 miles","I-95 N; Jefferson Davis Hwy Woodbridge","Wed Sep 26 13:13:01 2018"
1,"32 min","33.3 miles","I-95 N","Wed Sep 26 13:13:13 2018"
2,"38 min","33.6 miles","I-95 N; Jefferson Davis Hwy Woodbridge","Wed Sep 26 13:13:13 2018"
1,"32 min","33.3 miles","I-95 N","Wed Sep 26 13:13:26 2018"
2,"38 min","33.6 miles","I-95 N; Jefferson Davis Hwy Woodbridge","Wed Sep 26 13:13:26 2018"
1,"32 min","33.3 miles","I-95 N","Wed Sep 26 13:13:39 2018"
2,"38 min","33.6 miles","I-95 N; Jefferson Davis Hwy Woodbridge","Wed Sep 26 13:13:39 2018"
1,"32 min","33.3 miles","I-95 N","Wed Sep 26 13:13:53 2018"
2,"37 min","33.6 miles","I-95 N; Jefferson Davis Hwy Woodbridge","Wed Sep 26 13:13:53 2018"
1,"32 min","33.3 miles","I-95 N","Wed Sep 26 13:14:06 2018"
2,"37 min","33.6 miles","I-95 N; Jefferson Davis Hwy Woodbridge","Wed Sep 26 13:14:06 2018"
1,"32 min","33.3 miles","I-95 N","Wed Sep 26 13:14:19 2018"
2,"37 min","33.6 miles","I-95 N; Jefferson Davis Hwy Woodbridge","Wed Sep 26 13:14:19 2018"
1,"32 min","33.3 miles","I-95 N","Wed Sep 26 13:14:32 2018"
2,"38 min","33.6 miles","I-95 N; Jefferson Davis Hwy Woodbridge","Wed Sep 26 13:14:32 2018"
1,"32 min","33.3 miles","I-95 N","Wed Sep 26 13:14:46 2018"
2,"38 min","33.6 miles","I-95 N; Jefferson Davis Hwy Woodbridge","Wed Sep 26 13:14:46 2018"
1,"32 min","33.3 miles","I-95 N","Wed Sep 26 13:14:58 2018"
2,"37 min","33.6 miles","I-95 N; Jefferson Davis Hwy Woodbridge","Wed Sep 26 13:14:58 2018"
1,"32 min","33.3 miles","I-95 N","Wed Sep 26 13:15:11 2018"
2,"37 min","33.6 miles","I-95 N; Jefferson Davis Hwy Woodbridge","Wed Sep 26 13:15:11 2018"
1,"32 min","33.3 miles","I-95 N","Wed Sep 26 13:15:23 2018"
2,"37 min","33.6 miles","I-95 N; Jefferson Davis Hwy Woodbridge","Wed Sep 26 13:15:23 2018"
1,"32 min","33.3 miles","I-95 N","Wed Sep 26 13:15:37 2018"
2,"38 min","33.6 miles","I-95 N; Jefferson Davis Hwy Woodbridge","Wed Sep 26 13:15:37 2018"
1,"32 min","33.3 miles","I-95 N","Wed Sep 26 13:15:49 2018"
2,"38 min","33.6 miles","I-95 N; Jefferson Davis Hwy Woodbridge","Wed Sep 26 13:15:49 2018"
1,"32 min","33.3 miles","I-95 N","Wed Sep 26 13:16:01 2018"
2,"38 min","33.6 miles","I-95 N; Jefferson Davis Hwy Woodbridge","Wed Sep 26 13:16:01 2018"
1,"32 min","33.3 miles","I-95 N","Wed Sep 26 13:16:14 2018"
2,"37 min","33.6 miles","I-95 N; Jefferson Davis Hwy Woodbridge","Wed Sep 26 13:16:14 2018"
1,"32 min","33.3 miles","I-95 N","Wed Sep 26 13:16:27 2018"
2,"37 min","33.6 miles","I-95 N; Jefferson Davis Hwy Woodbridge","Wed Sep 26 13:16:27 2018"
1,"32 min","33.3 miles","I-95 N","Wed Sep 26 13:16:39 2018"
2,"38 min","33.6 miles","I-95 N; Jefferson Davis Hwy Woodbridge","Wed Sep 26 13:16:39 2018"
1,"32 min","33.3 miles","I-95 N","Wed Sep 26 13:16:52 2018"
2,"37 min","33.6 miles","I-95 N; Jefferson Davis Hwy Woodbridge","Wed Sep 26 13:16:52 2018"
1,"32 min","33.3 miles","I-95 N","Wed Sep 26 13:17:05 2018"
2,"37 min","33.6 miles","I-95 N; Jefferson Davis Hwy Woodbridge","Wed Sep 26 13:17:05 2018"
1,"32 min","33.3 miles","I-95 N","Wed Sep 26 13:17:17 2018"
2,"37 min","33.6 miles","I-95 N; Jefferson Davis Hwy Woodbridge","Wed Sep 26 13:17:17 2018"
1,"32 min","33.3 miles","I-95 N","Wed Sep 26 13:17:30 2018"
2,"37 min","33.6 miles","I-95 N; Jefferson Davis Hwy Woodbridge","Wed Sep 26 13:17:30 2018"
1,"32 min","33.3 miles","I-95 N","Wed Sep 26 13:17:42 2018"
2,"37 min","33.6 miles","I-95 N; Jefferson Davis Hwy Woodbridge","Wed Sep 26 13:17:42 2018"
1,"32 min","33.3 miles","I-95 N","Wed Sep 26 13:17:55 2018"
2,"38 min","33.6 miles","I-95 N; Jefferson Davis Hwy Woodbridge","Wed Sep 26 13:17:55 2018"
1,"32 min","33.3 miles","I-95 N","Wed Sep 26 13:18:07 2018"
2,"38 min","33.6 miles","I-95 N; Jefferson Davis Hwy Woodbridge","Wed Sep 26 13:18:07 2018"
1,"32 min","33.3 miles","I-95 N","Wed Sep 26 13:18:20 2018"
2,"38 min","33.6 miles","I-95 N; Jefferson Davis Hwy Woodbridge","Wed Sep 26 13:18:20 2018"
1,"33 min","33.3 miles","I-95 N","Wed Sep 26 13:18:32 2018"
2,"38 min","33.6 miles","I-95 N; Jefferson Davis Hwy Woodbridge","Wed Sep 26 13:18:32 2018"
1,"33 min","33.3 miles","I-95 N","Wed Sep 26 13:18:46 2018"
2,"38 min","33.6 miles","I-95 N; Jefferson Davis Hwy Woodbridge","Wed Sep 26 13:18:46 2018"
1,"33 min","33.3 miles","I-95 N","Wed Sep 26 13:19:01 2018"
2,"37 min","33.6 miles","I-95 N; Jefferson Davis Hwy Woodbridge","Wed Sep 26 13:19:01 2018"
1,"33 min","33.3 miles","I-95 N","Wed Sep 26 13:19:16 2018"
2,"37 min","33.6 miles","I-95 N; Jefferson Davis Hwy Woodbridge","Wed Sep 26 13:19:16 2018"
1,"33 min","33.3 miles","I-95 N","Wed Sep 26 13:19:30 2018"
2,"38 min","33.6 miles","I-95 N; Jefferson Davis Hwy Woodbridge","Wed Sep 26 13:19:30 2018"
1,"33 min","33.3 miles","I-95 N","Wed Sep 26 13:19:43 2018"
2,"38 min","33.6 miles","I-95 N; Jefferson Davis Hwy Woodbridge","Wed Sep 26 13:19:43 2018"
1,"33 min","33.3 miles","I-95 N","Wed Sep 26 13:19:56 2018"
2,"38 min","33.6 miles","I-95 N; Jefferson Davis Hwy Woodbridge","Wed Sep 26 13:19:56 2018"
1,"33 min","33.3 miles","I-95 N","Wed Sep 26 13:20:09 2018"
2,"38 min","33.6 miles","I-95 N; Jefferson Davis Hwy Woodbridge","Wed Sep 26 13:20:09 2018"
1,"33 min","33.3 miles","I-95 N","Wed Sep 26 13:20:23 2018"
2,"38 min","33.6 miles","I-95 N; Jefferson Davis Hwy Woodbridge","Wed Sep 26 13:20:23 2018"
1,"33 min","33.3 miles","I-95 N","Wed Sep 26 13:20:36 2018"
2,"38 min","33.6 miles","I-95 N; Jefferson Davis Hwy Woodbridge","Wed Sep 26 13:20:36 2018"
1,"32 min","33.3 miles","I-95 N","Wed Sep 26 13:20:48 2018"
