routenum,eta,distance,route,time
2,"42 min","34 mi","via I-95, US-1","Wed Sep 26 13:08:33 2018"
1,"35 min","33 mi","via I-95","Wed Sep 26 13:08:40 2018"
2,"42 min","34 mi","via I-95, US-1","Wed Sep 26 13:08:40 2018"
1,"35 min","33 mi","via I-95","Wed Sep 26 13:08:47 2018"
2,"42 min","34 mi","via I-95, US-1","Wed Sep 26 13:08:47 2018"
1,"35 min","33 mi","via I-95","Wed Sep 26 13:08:54 2018"
2,"42 min","34 mi","via I-95, US-1","Wed Sep 26 13:08:54 2018"
1,"35 min","33 mi","via I-95","Wed Sep 26 13:09:01 2018"
2,"42 min","34 mi","via I-95, US-1","Wed Sep 26 13:09:01 2018"
1,"35 min","33 mi","via I-95","Wed Sep 26 13:09:08 2018"
2,"42 min","34 mi","via I-95, US-1","Wed Sep 26 13:09:08 2018"
1,"35 min","33 mi","via I-95","Wed Sep 26 13:09:15 2018"
2,"42 min","34 mi","via I-95, US-1","Wed Sep 26 13:09:15 2018"
1,"35 min","33 mi","via I-95","Wed Sep 26 13:09:21 2018"
2,"42 min","34 mi","via I-95, US-1","Wed Sep 26 13:09:21 2018"
1,"35 min","33 mi","via I-95","Wed Sep 26 13:09:28 2018"
2,"42 min","34 mi","via I-95, US-1","Wed Sep 26 13:09:28 2018"
1,"35 min","33 mi","via I-95","Wed Sep 26 13:09:35 2018"
2,"42 min","34 mi","via I-95, US-1","Wed Sep 26 13:09:35 2018"
1,"35 min","33 mi","via I-95","Wed Sep 26 13:09:41 2018"
2,"42 min","34 mi","via I-95, US-1","Wed Sep 26 13:09:41 2018"
1,"35 min","33 mi","via I-95","Wed Sep 26 13:09:48 2018"
2,"42 min","34 mi","via I-95, US-1","Wed Sep 26 13:09:48 2018"
1,"35 min","33 mi","via I-95","Wed Sep 26 13:09:55 2018"
2,"42 min","34 mi","via I-95, US-1","Wed Sep 26 13:09:55 2018"
1,"35 min","33 mi","via I-95","Wed Sep 26 13:10:02 2018"
2,"42 min","34 mi","via I-95, US-1","Wed Sep 26 13:10:02 2018"
1,"35 min","33 mi","via I-95","Wed Sep 26 13:10:08 2018"
2,"42 min","34 mi","via I-95, US-1","Wed Sep 26 13:10:08 2018"
1,"35 min","33 mi","via I-95","Wed Sep 26 13:10:15 2018"
2,"42 min","34 mi","via I-95, US-1","Wed Sep 26 13:10:15 2018"
1,"35 min","33 mi","via I-95","Wed Sep 26 13:10:22 2018"
2,"42 min","34 mi","via I-95, US-1","Wed Sep 26 13:10:22 2018"
1,"35 min","33 mi","via I-95","Wed Sep 26 13:10:28 2018"
