Route Number,ETA,Distance,Route,Time
2,21 min,21.4 miles,I-15 S Temecula; Old Hwy 395 Fallbrook,Fri Sep 28 14:13:20 2018
1,17 min,21 miles,I-15 S,Fri Sep 28 14:13:32 2018
2,21 min,21.4 miles,I-15 S Temecula; Old Hwy 395 Fallbrook,Fri Sep 28 14:13:32 2018
1,17 min,21 miles,I-15 S,Fri Sep 28 14:13:44 2018
2,21 min,21.4 miles,I-15 S Temecula; Old Hwy 395 Fallbrook,Fri Sep 28 14:13:44 2018
1,17 min,21 miles,I-15 S,Fri Sep 28 14:13:56 2018
2,21 min,21.4 miles,I-15 S Temecula; Old Hwy 395 Fallbrook,Fri Sep 28 14:13:56 2018
1,17 min,21 miles,I-15 S,Fri Sep 28 14:14:08 2018
2,21 min,21.4 miles,I-15 S Temecula; Old Hwy 395 Fallbrook,Fri Sep 28 14:14:08 2018
1,17 min,21 miles,I-15 S,Fri Sep 28 14:14:20 2018
2,21 min,21.4 miles,I-15 S Temecula; Old Hwy 395 Fallbrook,Fri Sep 28 14:14:20 2018
1,17 min,21 miles,I-15 S,Fri Sep 28 14:14:33 2018
2,21 min,21.4 miles,I-15 S Temecula; Old Hwy 395 Fallbrook,Fri Sep 28 14:14:33 2018
1,17 min,21 miles,I-15 S,Fri Sep 28 14:14:45 2018
2,21 min,21.4 miles,I-15 S Temecula; Old Hwy 395 Fallbrook,Fri Sep 28 14:14:45 2018
1,17 min,21 miles,I-15 S,Fri Sep 28 14:14:57 2018
2,21 min,21.4 miles,I-15 S Temecula; Old Hwy 395 Fallbrook,Fri Sep 28 14:14:57 2018
1,17 min,21 miles,I-15 S,Fri Sep 28 14:15:09 2018
2,21 min,21.4 miles,I-15 S Temecula; Old Hwy 395 Fallbrook,Fri Sep 28 14:15:09 2018
1,17 min,21 miles,I-15 S,Fri Sep 28 14:15:21 2018
2,21 min,21.4 miles,I-15 S Temecula; Old Hwy 395 Fallbrook,Fri Sep 28 14:15:21 2018
1,17 min,21 miles,I-15 S,Fri Sep 28 14:15:35 2018
2,21 min,21.4 miles,I-15 S Temecula; Old Hwy 395 Fallbrook,Fri Sep 28 14:15:35 2018
1,17 min,21 miles,I-15 S,Fri Sep 28 14:15:47 2018
2,21 min,21.4 miles,I-15 S Temecula; Old Hwy 395 Fallbrook,Fri Sep 28 14:15:47 2018
1,17 min,21 miles,I-15 S,Fri Sep 28 14:15:59 2018
2,21 min,21.4 miles,I-15 S Temecula; Old Hwy 395 Fallbrook,Fri Sep 28 14:15:59 2018
1,17 min,21 miles,I-15 S,Fri Sep 28 14:16:12 2018
2,21 min,21.4 miles,I-15 S Temecula; Old Hwy 395 Fallbrook,Fri Sep 28 14:16:12 2018
1,17 min,21 miles,I-15 S,Fri Sep 28 14:16:26 2018
2,21 min,21.4 miles,I-15 S Temecula; Old Hwy 395 Fallbrook,Fri Sep 28 14:16:26 2018
1,17 min,21 miles,I-15 S,Fri Sep 28 14:16:38 2018
2,21 min,21.4 miles,I-15 S Temecula; Old Hwy 395 Fallbrook,Fri Sep 28 14:16:38 2018
1,17 min,21 miles,I-15 S,Fri Sep 28 14:16:50 2018
2,21 min,21.4 miles,I-15 S Temecula; Old Hwy 395 Fallbrook,Fri Sep 28 14:16:50 2018
1,17 min,21 miles,I-15 S,Fri Sep 28 14:17:02 2018
2,21 min,21.4 miles,I-15 S Temecula; Old Hwy 395 Fallbrook,Fri Sep 28 14:17:02 2018
1,17 min,21 miles,I-15 S,Fri Sep 28 14:17:15 2018
2,21 min,21.4 miles,I-15 S Temecula; Old Hwy 395 Fallbrook,Fri Sep 28 14:17:15 2018
1,17 min,21 miles,I-15 S,Fri Sep 28 14:17:27 2018
