Route Number,ETA,Distance,Route,Time
1,20 min,21 mi,via I-15,Fri Sep 28 14:10:47 2018
2,25 min,22 mi,"via I-15, Old Highway 395",Fri Sep 28 14:10:47 2018
1,20 min,21 mi,via I-15,Fri Sep 28 14:10:54 2018
2,25 min,22 mi,"via I-15, Old Highway 395",Fri Sep 28 14:10:54 2018
1,20 min,21 mi,via I-15,Fri Sep 28 14:11:01 2018
2,25 min,22 mi,"via I-15, Old Highway 395",Fri Sep 28 14:11:01 2018
1,20 min,21 mi,via I-15,Fri Sep 28 14:11:07 2018
2,25 min,22 mi,"via I-15, Old Highway 395",Fri Sep 28 14:11:07 2018
1,20 min,21 mi,via I-15,Fri Sep 28 14:11:14 2018
2,25 min,22 mi,"via I-15, Old Highway 395",Fri Sep 28 14:11:14 2018
1,20 min,21 mi,via I-15,Fri Sep 28 14:11:21 2018
2,25 min,22 mi,"via I-15, Old Highway 395",Fri Sep 28 14:11:21 2018
1,20 min,21 mi,via I-15,Fri Sep 28 14:11:27 2018
2,25 min,22 mi,"via I-15, Old Highway 395",Fri Sep 28 14:11:27 2018
1,20 min,21 mi,via I-15,Fri Sep 28 14:11:34 2018
2,25 min,22 mi,"via I-15, Old Highway 395",Fri Sep 28 14:11:34 2018
1,20 min,21 mi,via I-15,Fri Sep 28 14:11:40 2018
2,25 min,22 mi,"via I-15, Old Highway 395",Fri Sep 28 14:11:40 2018
1,20 min,21 mi,via I-15,Fri Sep 28 14:11:47 2018
2,25 min,22 mi,"via I-15, Old Highway 395",Fri Sep 28 14:11:47 2018
1,20 min,21 mi,via I-15,Fri Sep 28 14:11:53 2018
2,25 min,22 mi,"via I-15, Old Highway 395",Fri Sep 28 14:11:53 2018
1,20 min,21 mi,via I-15,Fri Sep 28 14:12:00 2018
2,25 min,22 mi,"via I-15, Old Highway 395",Fri Sep 28 14:12:00 2018
1,20 min,21 mi,via I-15,Fri Sep 28 14:12:07 2018
2,25 min,22 mi,"via I-15, Old Highway 395",Fri Sep 28 14:12:07 2018
1,20 min,21 mi,via I-15,Fri Sep 28 14:12:13 2018
2,25 min,22 mi,"via I-15, Old Highway 395",Fri Sep 28 14:12:13 2018
1,20 min,21 mi,via I-15,Fri Sep 28 14:12:20 2018
2,25 min,22 mi,"via I-15, Old Highway 395",Fri Sep 28 14:12:20 2018
1,20 min,21 mi,via I-15,Fri Sep 28 14:12:26 2018
2,25 min,22 mi,"via I-15, Old Highway 395",Fri Sep 28 14:12:26 2018
1,20 min,21 mi,via I-15,Fri Sep 28 14:12:33 2018
2,25 min,22 mi,"via I-15, Old Highway 395",Fri Sep 28 14:12:33 2018
1,20 min,21 mi,via I-15,Fri Sep 28 14:12:39 2018
2,25 min,22 mi,"via I-15, Old Highway 395",Fri Sep 28 14:12:39 2018
1,20 min,21 mi,via I-15,Fri Sep 28 14:12:46 2018
2,25 min,22 mi,"via I-15, Old Highway 395",Fri Sep 28 14:12:46 2018
1,20 min,21 mi,via I-15,Fri Sep 28 14:12:52 2018
2,25 min,22 mi,"via I-15, Old Highway 395",Fri Sep 28 14:12:52 2018
1,20 min,21 mi,via I-15,Fri Sep 28 14:12:59 2018
2,25 min,22 mi,"via I-15, Old Highway 395",Fri Sep 28 14:12:59 2018
1,20 min,21 mi,via I-15,Fri Sep 28 14:13:05 2018
2,25 min,22 mi,"via I-15, Old Highway 395",Fri Sep 28 14:13:05 2018
1,20 min,21 mi,via I-15,Fri Sep 28 14:13:12 2018
2,25 min,22 mi,"via I-15, Old Highway 395",Fri Sep 28 14:13:12 2018
1,20 min,21 mi,via I-15,Fri Sep 28 14:13:18 2018
2,25 min,22 mi,"via I-15, Old Highway 395",Fri Sep 28 14:13:18 2018
1,20 min,21 mi,via I-15,Fri Sep 28 14:13:25 2018
2,25 min,22 mi,"via I-15, Old Highway 395",Fri Sep 28 14:13:25 2018
1,20 min,21 mi,via I-15,Fri Sep 28 14:13:32 2018
2,25 min,22 mi,"via I-15, Old Highway 395",Fri Sep 28 14:13:32 2018
1,20 min,21 mi,via I-15,Fri Sep 28 14:13:38 2018
2,25 min,22 mi,"via I-15, Old Highway 395",Fri Sep 28 14:13:38 2018
1,20 min,21 mi,via I-15,Fri Sep 28 14:13:45 2018
2,25 min,22 mi,"via I-15, Old Highway 395",Fri Sep 28 14:13:45 2018
1,20 min,21 mi,via I-15,Fri Sep 28 14:13:51 2018
2,25 min,22 mi,"via I-15, Old Highway 395",Fri Sep 28 14:13:51 2018
1,20 min,21 mi,via I-15,Fri Sep 28 14:13:58 2018
2,25 min,22 mi,"via I-15, Old Highway 395",Fri Sep 28 14:13:58 2018
