Route Number,ETA,Distance,Route,Time
2,37 min,33.6 miles,I-95 N; Jefferson Davis Hwy Woodbridge,Fri Sep 28 00:43:45 2018
1,30 min,33.3 miles,I-95 N,Fri Sep 28 00:43:59 2018
2,37 min,33.6 miles,I-95 N; Jefferson Davis Hwy Woodbridge,Fri Sep 28 00:43:59 2018
1,30 min,33.3 miles,I-95 N,Fri Sep 28 00:44:11 2018
2,37 min,33.6 miles,I-95 N; Jefferson Davis Hwy Woodbridge,Fri Sep 28 00:44:11 2018
1,30 min,33.3 miles,I-95 N,Fri Sep 28 00:44:24 2018
2,37 min,33.6 miles,I-95 N; Jefferson Davis Hwy Woodbridge,Fri Sep 28 00:44:24 2018
1,30 min,33.3 miles,I-95 N,Fri Sep 28 00:44:36 2018
2,37 min,33.6 miles,I-95 N; Jefferson Davis Hwy Woodbridge,Fri Sep 28 00:44:36 2018
1,30 min,33.3 miles,I-95 N,Fri Sep 28 00:44:49 2018
2,37 min,33.6 miles,I-95 N; Jefferson Davis Hwy Woodbridge,Fri Sep 28 00:44:49 2018
1,30 min,33.3 miles,I-95 N,Fri Sep 28 00:45:01 2018
2,37 min,33.6 miles,I-95 N; Jefferson Davis Hwy Woodbridge,Fri Sep 28 00:45:01 2018
1,30 min,33.3 miles,I-95 N,Fri Sep 28 00:45:13 2018
2,37 min,33.6 miles,I-95 N; Jefferson Davis Hwy Woodbridge,Fri Sep 28 00:45:13 2018
1,30 min,33.3 miles,I-95 N,Fri Sep 28 00:45:25 2018
2,37 min,33.6 miles,I-95 N; Jefferson Davis Hwy Woodbridge,Fri Sep 28 00:45:25 2018
1,30 min,33.3 miles,I-95 N,Fri Sep 28 00:45:38 2018
2,37 min,33.6 miles,I-95 N; Jefferson Davis Hwy Woodbridge,Fri Sep 28 00:45:38 2018
1,30 min,33.3 miles,I-95 N,Fri Sep 28 00:45:50 2018
2,37 min,33.6 miles,I-95 N; Jefferson Davis Hwy Woodbridge,Fri Sep 28 00:45:50 2018
1,30 min,33.3 miles,I-95 N,Fri Sep 28 00:46:03 2018
2,37 min,33.6 miles,I-95 N; Jefferson Davis Hwy Woodbridge,Fri Sep 28 00:46:03 2018
1,30 min,33.3 miles,I-95 N,Fri Sep 28 00:46:17 2018
2,37 min,33.6 miles,I-95 N; Jefferson Davis Hwy Woodbridge,Fri Sep 28 00:46:17 2018
1,30 min,33.3 miles,I-95 N,Fri Sep 28 00:46:30 2018
2,37 min,33.6 miles,I-95 N; Jefferson Davis Hwy Woodbridge,Fri Sep 28 00:46:30 2018
1,30 min,33.3 miles,I-95 N,Fri Sep 28 00:46:42 2018
2,37 min,33.6 miles,I-95 N; Jefferson Davis Hwy Woodbridge,Fri Sep 28 00:46:42 2018
1,30 min,33.3 miles,I-95 N,Fri Sep 28 00:46:54 2018
2,37 min,33.6 miles,I-95 N; Jefferson Davis Hwy Woodbridge,Fri Sep 28 00:46:54 2018
1,30 min,33.3 miles,I-95 N,Fri Sep 28 00:47:07 2018
2,37 min,33.6 miles,I-95 N; Jefferson Davis Hwy Woodbridge,Fri Sep 28 00:47:07 2018
1,30 min,33.3 miles,I-95 N,Fri Sep 28 00:47:19 2018
2,37 min,33.6 miles,I-95 N; Jefferson Davis Hwy Woodbridge,Fri Sep 28 00:47:19 2018
1,31 min,33.3 miles,I-95 N,Fri Sep 28 00:47:31 2018
2,37 min,33.6 miles,I-95 N; Jefferson Davis Hwy Woodbridge,Fri Sep 28 00:47:31 2018
1,30 min,33.3 miles,I-95 N,Fri Sep 28 00:47:43 2018
2,37 min,33.6 miles,I-95 N; Jefferson Davis Hwy Woodbridge,Fri Sep 28 00:47:43 2018
1,30 min,33.3 miles,I-95 N,Fri Sep 28 00:47:55 2018
2,37 min,33.6 miles,I-95 N; Jefferson Davis Hwy Woodbridge,Fri Sep 28 00:47:55 2018
1,30 min,33.3 miles,I-95 N,Fri Sep 28 00:48:07 2018
2,37 min,33.6 miles,I-95 N; Jefferson Davis Hwy Woodbridge,Fri Sep 28 00:48:07 2018
1,30 min,33.3 miles,I-95 N,Fri Sep 28 00:48:20 2018
2,37 min,33.6 miles,I-95 N; Jefferson Davis Hwy Woodbridge,Fri Sep 28 00:48:20 2018
1,30 min,33.3 miles,I-95 N,Fri Sep 28 00:48:33 2018
2,37 min,33.6 miles,I-95 N; Jefferson Davis Hwy Woodbridge,Fri Sep 28 00:48:33 2018
1,30 min,33.3 miles,I-95 N,Fri Sep 28 00:48:45 2018
2,37 min,33.6 miles,I-95 N; Jefferson Davis Hwy Woodbridge,Fri Sep 28 00:48:45 2018
1,30 min,33.3 miles,I-95 N,Fri Sep 28 00:48:58 2018
2,37 min,33.6 miles,I-95 N; Jefferson Davis Hwy Woodbridge,Fri Sep 28 00:48:58 2018
1,30 min,33.3 miles,I-95 N,Fri Sep 28 00:49:10 2018
2,37 min,33.6 miles,I-95 N; Jefferson Davis Hwy Woodbridge,Fri Sep 28 00:49:10 2018
1,30 min,33.3 miles,I-95 N,Fri Sep 28 00:49:22 2018
2,37 min,33.6 miles,I-95 N; Jefferson Davis Hwy Woodbridge,Fri Sep 28 00:49:22 2018
1,30 min,33.3 miles,I-95 N,Fri Sep 28 00:49:35 2018
2,37 min,33.6 miles,I-95 N; Jefferson Davis Hwy Woodbridge,Fri Sep 28 00:49:35 2018
1,30 min,33.3 miles,I-95 N,Fri Sep 28 00:49:48 2018
2,37 min,33.6 miles,I-95 N; Jefferson Davis Hwy Woodbridge,Fri Sep 28 00:49:48 2018
1,30 min,33.3 miles,I-95 N,Fri Sep 28 00:50:01 2018
