Route Number,ETA,Distance,Route,Time
2,29 min,29.9 miles,I-105 E and I-605 S,Fri Sep 28 01:28:31 2018
3,30 min,30.2 miles,I-105 E and I-405 S,Fri Sep 28 01:28:31 2018
1,23 min,22.6 miles,I-405 S,Fri Sep 28 01:28:54 2018
2,29 min,29.9 miles,I-105 E and I-605 S,Fri Sep 28 01:28:54 2018
3,30 min,30.2 miles,I-105 E and I-405 S,Fri Sep 28 01:28:54 2018
1,23 min,22.6 miles,I-405 S,Fri Sep 28 01:29:18 2018
2,29 min,29.9 miles,I-105 E and I-605 S,Fri Sep 28 01:29:18 2018
3,30 min,30.2 miles,I-105 E and I-405 S,Fri Sep 28 01:29:18 2018
1,23 min,22.6 miles,I-405 S,Fri Sep 28 01:29:37 2018
2,29 min,29.9 miles,I-105 E and I-605 S,Fri Sep 28 01:29:37 2018
3,30 min,30.2 miles,I-105 E and I-405 S,Fri Sep 28 01:29:37 2018
1,23 min,22.6 miles,I-405 S,Fri Sep 28 01:29:55 2018
2,29 min,29.9 miles,I-105 E and I-605 S,Fri Sep 28 01:29:55 2018
3,30 min,30.2 miles,I-105 E and I-405 S,Fri Sep 28 01:29:55 2018
1,23 min,22.6 miles,I-405 S,Fri Sep 28 01:30:19 2018
2,29 min,29.9 miles,I-105 E and I-605 S,Fri Sep 28 01:30:19 2018
3,30 min,30.2 miles,I-105 E and I-405 S,Fri Sep 28 01:30:19 2018
1,23 min,22.6 miles,I-405 S,Fri Sep 28 01:30:37 2018
2,29 min,29.9 miles,I-105 E and I-605 S,Fri Sep 28 01:30:37 2018
3,30 min,30.2 miles,I-105 E and I-405 S,Fri Sep 28 01:30:37 2018
1,23 min,22.6 miles,I-405 S,Fri Sep 28 01:30:59 2018
2,29 min,29.9 miles,I-105 E and I-605 S,Fri Sep 28 01:30:59 2018
3,30 min,30.2 miles,I-105 E and I-405 S,Fri Sep 28 01:30:59 2018
1,23 min,22.6 miles,I-405 S,Fri Sep 28 01:31:21 2018
2,29 min,29.9 miles,I-105 E and I-605 S,Fri Sep 28 01:31:21 2018
3,30 min,30.2 miles,I-105 E and I-405 S,Fri Sep 28 01:31:21 2018
1,23 min,22.6 miles,I-405 S,Fri Sep 28 01:31:39 2018
2,29 min,29.9 miles,I-105 E and I-605 S,Fri Sep 28 01:31:39 2018
3,30 min,30.2 miles,I-105 E and I-405 S,Fri Sep 28 01:31:39 2018
1,23 min,22.6 miles,I-405 S,Fri Sep 28 01:32:02 2018
2,29 min,29.9 miles,I-105 E and I-605 S,Fri Sep 28 01:32:02 2018
3,30 min,30.2 miles,I-105 E and I-405 S,Fri Sep 28 01:32:02 2018
1,23 min,22.6 miles,I-405 S,Fri Sep 28 01:32:25 2018
2,29 min,29.9 miles,I-105 E and I-605 S,Fri Sep 28 01:32:25 2018
3,30 min,30.2 miles,I-105 E and I-405 S,Fri Sep 28 01:32:25 2018
1,23 min,22.6 miles,I-405 S,Fri Sep 28 01:32:48 2018
2,29 min,29.9 miles,I-105 E and I-605 S,Fri Sep 28 01:32:48 2018
3,30 min,30.2 miles,I-105 E and I-405 S,Fri Sep 28 01:32:48 2018
1,23 min,22.6 miles,I-405 S,Fri Sep 28 01:33:05 2018
2,29 min,29.9 miles,I-105 E and I-605 S,Fri Sep 28 01:33:05 2018
3,30 min,30.2 miles,I-105 E and I-405 S,Fri Sep 28 01:33:05 2018
1,23 min,22.6 miles,I-405 S,Fri Sep 28 01:33:24 2018
2,29 min,29.9 miles,I-105 E and I-605 S,Fri Sep 28 01:33:24 2018
3,30 min,30.2 miles,I-105 E and I-405 S,Fri Sep 28 01:33:24 2018
1,23 min,22.6 miles,I-405 S,Fri Sep 28 01:33:47 2018
2,29 min,29.9 miles,I-105 E and I-605 S,Fri Sep 28 01:33:47 2018
3,30 min,30.2 miles,I-105 E and I-405 S,Fri Sep 28 01:33:47 2018
1,23 min,22.6 miles,I-405 S,Fri Sep 28 01:34:05 2018
2,29 min,29.9 miles,I-105 E and I-605 S,Fri Sep 28 01:34:05 2018
3,30 min,30.2 miles,I-105 E and I-405 S,Fri Sep 28 01:34:05 2018
1,23 min,22.6 miles,I-405 S,Fri Sep 28 01:34:23 2018
2,29 min,29.9 miles,I-105 E and I-605 S,Fri Sep 28 01:34:23 2018
3,30 min,30.2 miles,I-105 E and I-405 S,Fri Sep 28 01:34:23 2018
1,23 min,22.6 miles,I-405 S,Fri Sep 28 01:34:48 2018
2,29 min,29.9 miles,I-105 E and I-605 S,Fri Sep 28 01:34:48 2018
3,30 min,30.2 miles,I-105 E and I-405 S,Fri Sep 28 01:34:48 2018
1,23 min,22.6 miles,I-405 S,Fri Sep 28 01:35:05 2018
2,29 min,29.9 miles,I-105 E and I-605 S,Fri Sep 28 01:35:05 2018
3,30 min,30.2 miles,I-105 E and I-405 S,Fri Sep 28 01:35:05 2018
1,23 min,22.6 miles,I-405 S,Fri Sep 28 01:35:30 2018
2,29 min,29.9 miles,I-105 E and I-605 S,Fri Sep 28 01:35:30 2018
3,30 min,30.2 miles,I-105 E and I-405 S,Fri Sep 28 01:35:30 2018
1,23 min,22.6 miles,I-405 S,Fri Sep 28 01:35:53 2018
2,29 min,29.9 miles,I-105 E and I-605 S,Fri Sep 28 01:35:53 2018
3,30 min,30.2 miles,I-105 E and I-405 S,Fri Sep 28 01:35:53 2018
1,23 min,22.6 miles,I-405 S,Fri Sep 28 01:36:13 2018
2,29 min,29.9 miles,I-105 E and I-605 S,Fri Sep 28 01:36:13 2018
3,30 min,30.2 miles,I-105 E and I-405 S,Fri Sep 28 01:36:13 2018
1,23 min,22.6 miles,I-405 S,Fri Sep 28 01:36:33 2018
2,29 min,29.9 miles,I-105 E and I-605 S,Fri Sep 28 01:36:33 2018
3,30 min,30.2 miles,I-105 E and I-405 S,Fri Sep 28 01:36:33 2018
1,23 min,22.6 miles,I-405 S,Fri Sep 28 01:36:56 2018
2,29 min,29.9 miles,I-105 E and I-605 S,Fri Sep 28 01:36:56 2018
3,30 min,30.2 miles,I-105 E and I-405 S,Fri Sep 28 01:36:56 2018
1,23 min,22.6 miles,I-405 S,Fri Sep 28 01:37:14 2018
2,29 min,29.9 miles,I-105 E and I-605 S,Fri Sep 28 01:37:14 2018
3,30 min,30.2 miles,I-105 E and I-405 S,Fri Sep 28 01:37:14 2018
1,23 min,22.6 miles,I-405 S,Fri Sep 28 01:37:32 2018
2,29 min,29.9 miles,I-105 E and I-605 S,Fri Sep 28 01:37:32 2018
3,30 min,30.2 miles,I-105 E and I-405 S,Fri Sep 28 01:37:32 2018
1,23 min,22.6 miles,I-405 S,Fri Sep 28 01:37:50 2018
2,29 min,29.9 miles,I-105 E and I-605 S,Fri Sep 28 01:37:50 2018
3,30 min,30.2 miles,I-105 E and I-405 S,Fri Sep 28 01:37:50 2018
1,22 min,22.6 miles,I-405 S,Fri Sep 28 01:38:13 2018
2,28 min,29.9 miles,I-105 E and I-605 S,Fri Sep 28 01:38:13 2018
3,30 min,30.2 miles,I-105 E and I-405 S,Fri Sep 28 01:38:13 2018
1,22 min,22.6 miles,I-405 S,Fri Sep 28 01:38:30 2018
2,28 min,29.9 miles,I-105 E and I-605 S,Fri Sep 28 01:38:30 2018
3,30 min,30.2 miles,I-105 E and I-405 S,Fri Sep 28 01:38:30 2018
1,22 min,22.6 miles,I-405 S,Fri Sep 28 01:38:47 2018
2,28 min,29.9 miles,I-105 E and I-605 S,Fri Sep 28 01:38:47 2018
3,29 min,30.2 miles,I-105 E and I-405 S,Fri Sep 28 01:38:47 2018
1,23 min,22.6 miles,I-405 S,Fri Sep 28 01:39:11 2018
2,28 min,29.9 miles,I-105 E and I-605 S,Fri Sep 28 01:39:11 2018
3,29 min,30.2 miles,I-105 E and I-405 S,Fri Sep 28 01:39:11 2018
1,23 min,22.6 miles,I-405 S,Fri Sep 28 01:39:35 2018
2,28 min,29.9 miles,I-105 E and I-605 S,Fri Sep 28 01:39:35 2018
3,29 min,30.2 miles,I-105 E and I-405 S,Fri Sep 28 01:39:35 2018
1,22 min,22.6 miles,I-405 S,Fri Sep 28 01:39:52 2018
2,28 min,29.9 miles,I-105 E and I-605 S,Fri Sep 28 01:39:52 2018
3,29 min,30.2 miles,I-105 E and I-405 S,Fri Sep 28 01:39:52 2018
1,22 min,22.6 miles,I-405 S,Fri Sep 28 01:40:15 2018
2,28 min,29.9 miles,I-105 E and I-605 S,Fri Sep 28 01:40:15 2018
3,29 min,30.2 miles,I-105 E and I-405 S,Fri Sep 28 01:40:15 2018
1,22 min,22.6 miles,I-405 S,Fri Sep 28 01:40:32 2018
2,28 min,29.9 miles,I-105 E and I-605 S,Fri Sep 28 01:40:32 2018
3,29 min,30.2 miles,I-105 E and I-405 S,Fri Sep 28 01:40:32 2018
1,22 min,22.6 miles,I-405 S,Fri Sep 28 01:40:56 2018
2,28 min,29.9 miles,I-105 E and I-605 S,Fri Sep 28 01:40:56 2018
3,29 min,30.2 miles,I-105 E and I-405 S,Fri Sep 28 01:40:56 2018
1,22 min,22.6 miles,I-405 S,Fri Sep 28 01:41:19 2018
2,28 min,29.9 miles,I-105 E and I-605 S,Fri Sep 28 01:41:19 2018
3,29 min,30.2 miles,I-105 E and I-405 S,Fri Sep 28 01:41:19 2018
1,23 min,22.6 miles,I-405 S,Fri Sep 28 01:41:37 2018
2,28 min,29.9 miles,I-105 E and I-605 S,Fri Sep 28 01:41:37 2018
3,29 min,30.2 miles,I-105 E and I-405 S,Fri Sep 28 01:41:37 2018
1,22 min,22.6 miles,I-405 S,Fri Sep 28 01:42:00 2018
2,28 min,29.9 miles,I-105 E and I-605 S,Fri Sep 28 01:42:00 2018
3,29 min,30.2 miles,I-105 E and I-405 S,Fri Sep 28 01:42:00 2018
1,22 min,22.6 miles,I-405 S,Fri Sep 28 01:42:24 2018
