Route Number,ETA,Distance,Route,Time
1,20min,21.8mi,via I-405 S,Fri Sep 28 01:26:34 2018
2,26min,26.0mi,via CA-91 E,Fri Sep 28 01:26:34 2018
1,20min,21.8mi,via I-405 S,Fri Sep 28 01:26:41 2018
2,26min,26.0mi,via CA-91 E,Fri Sep 28 01:26:41 2018
1,20min,21.8mi,via I-405 S,Fri Sep 28 01:26:49 2018
2,26min,26.0mi,via CA-91 E,Fri Sep 28 01:26:49 2018
1,20min,21.8mi,via I-405 S,Fri Sep 28 01:26:56 2018
2,26min,26.0mi,via CA-91 E,Fri Sep 28 01:26:56 2018
1,20min,21.8mi,via I-405 S,Fri Sep 28 01:27:05 2018
2,26min,26.0mi,via CA-91 E,Fri Sep 28 01:27:05 2018
1,20min,21.8mi,via I-405 S,Fri Sep 28 01:27:12 2018
2,26min,26.0mi,via CA-91 E,Fri Sep 28 01:27:12 2018
1,20min,21.8mi,via I-405 S,Fri Sep 28 01:27:20 2018
2,26min,26.0mi,via CA-91 E,Fri Sep 28 01:27:20 2018
1,20min,21.8mi,via I-405 S,Fri Sep 28 01:27:28 2018
2,26min,26.0mi,via CA-91 E,Fri Sep 28 01:27:28 2018
1,20min,21.8mi,via I-405 S,Fri Sep 28 01:27:37 2018
2,26min,26.0mi,via CA-91 E,Fri Sep 28 01:27:37 2018
1,20min,21.8mi,via I-405 S,Fri Sep 28 01:27:50 2018
2,26min,26.0mi,via CA-91 E,Fri Sep 28 01:27:50 2018
1,20min,21.8mi,via I-405 S,Fri Sep 28 01:27:59 2018
2,26min,26.0mi,via CA-91 E,Fri Sep 28 01:27:59 2018
1,20min,21.8mi,via I-405 S,Fri Sep 28 01:28:12 2018
2,26min,26.0mi,via CA-91 E,Fri Sep 28 01:28:12 2018
1,20min,21.8mi,via I-405 S,Fri Sep 28 01:28:20 2018
2,26min,26.0mi,via CA-91 E,Fri Sep 28 01:28:20 2018
1,20min,21.8mi,via I-405 S,Fri Sep 28 01:28:28 2018
2,26min,26.0mi,via CA-91 E,Fri Sep 28 01:28:28 2018
1,20min,21.8mi,via I-405 S,Fri Sep 28 01:28:35 2018
2,26min,26.0mi,via CA-91 E,Fri Sep 28 01:28:35 2018
1,20min,21.8mi,via I-405 S,Fri Sep 28 01:28:43 2018
2,26min,26.0mi,via CA-91 E,Fri Sep 28 01:28:43 2018
1,20min,21.8mi,via I-405 S,Fri Sep 28 01:28:54 2018
2,26min,26.0mi,via CA-91 E,Fri Sep 28 01:28:54 2018
1,20min,21.8mi,via I-405 S,Fri Sep 28 01:29:00 2018
2,26min,26.0mi,via CA-91 E,Fri Sep 28 01:29:00 2018
1,20min,21.8mi,via I-405 S,Fri Sep 28 01:29:12 2018
2,26min,26.0mi,via CA-91 E,Fri Sep 28 01:29:12 2018
1,20min,21.8mi,via I-405 S,Fri Sep 28 01:29:21 2018
2,26min,26.0mi,via CA-91 E,Fri Sep 28 01:29:21 2018
1,20min,21.8mi,via I-405 S,Fri Sep 28 01:29:29 2018
2,26min,26.0mi,via CA-91 E,Fri Sep 28 01:29:29 2018
1,20min,21.8mi,via I-405 S,Fri Sep 28 01:29:37 2018
2,26min,26.0mi,via CA-91 E,Fri Sep 28 01:29:37 2018
1,20min,21.8mi,via I-405 S,Fri Sep 28 01:29:43 2018
2,26min,26.0mi,via CA-91 E,Fri Sep 28 01:29:43 2018
1,20min,21.8mi,via I-405 S,Fri Sep 28 01:29:53 2018
2,26min,26.0mi,via CA-91 E,Fri Sep 28 01:29:53 2018
1,20min,21.8mi,via I-405 S,Fri Sep 28 01:30:00 2018
2,26min,26.0mi,via CA-91 E,Fri Sep 28 01:30:00 2018
1,20min,21.8mi,via I-405 S,Fri Sep 28 01:30:09 2018
2,26min,26.0mi,via CA-91 E,Fri Sep 28 01:30:09 2018
1,20min,21.8mi,via I-405 S,Fri Sep 28 01:30:21 2018
2,26min,26.0mi,via CA-91 E,Fri Sep 28 01:30:21 2018
1,20min,21.8mi,via I-405 S,Fri Sep 28 01:30:29 2018
2,26min,26.0mi,via CA-91 E,Fri Sep 28 01:30:29 2018
1,20min,21.8mi,via I-405 S,Fri Sep 28 01:30:37 2018
2,26min,26.0mi,via CA-91 E,Fri Sep 28 01:30:37 2018
1,20min,21.8mi,via I-405 S,Fri Sep 28 01:30:46 2018
2,26min,26.0mi,via CA-91 E,Fri Sep 28 01:30:46 2018
1,20min,21.8mi,via I-405 S,Fri Sep 28 01:31:00 2018
2,26min,26.0mi,via CA-91 E,Fri Sep 28 01:31:00 2018
1,20min,21.8mi,via I-405 S,Fri Sep 28 01:31:06 2018
2,26min,26.0mi,via CA-91 E,Fri Sep 28 01:31:06 2018
1,20min,21.8mi,via I-405 S,Fri Sep 28 01:31:20 2018
2,27min,26.0mi,via CA-91 E,Fri Sep 28 01:31:20 2018
1,20min,21.8mi,via I-405 S,Fri Sep 28 01:31:27 2018
2,27min,26.0mi,via CA-91 E,Fri Sep 28 01:31:27 2018
1,20min,21.8mi,via I-405 S,Fri Sep 28 01:31:35 2018
2,26min,26.0mi,via CA-91 E,Fri Sep 28 01:31:35 2018
1,20min,21.8mi,via I-405 S,Fri Sep 28 01:31:43 2018
2,26min,26.0mi,via CA-91 E,Fri Sep 28 01:31:43 2018
1,20min,21.8mi,via I-405 S,Fri Sep 28 01:31:51 2018
2,27min,26.0mi,via CA-91 E,Fri Sep 28 01:31:51 2018
1,20min,21.8mi,via I-405 S,Fri Sep 28 01:32:05 2018
2,27min,26.0mi,via CA-91 E,Fri Sep 28 01:32:05 2018
1,20min,21.8mi,via I-405 S,Fri Sep 28 01:32:13 2018
2,27min,26.0mi,via CA-91 E,Fri Sep 28 01:32:13 2018
1,20min,21.8mi,via I-405 S,Fri Sep 28 01:32:24 2018
2,27min,26.0mi,via CA-91 E,Fri Sep 28 01:32:24 2018
1,20min,21.8mi,via I-405 S,Fri Sep 28 01:32:31 2018
2,27min,26.0mi,via CA-91 E,Fri Sep 28 01:32:31 2018
1,20min,21.8mi,via I-405 S,Fri Sep 28 01:32:43 2018
2,27min,26.0mi,via CA-91 E,Fri Sep 28 01:32:43 2018
1,20min,21.8mi,via I-405 S,Fri Sep 28 01:32:51 2018
2,27min,26.0mi,via CA-91 E,Fri Sep 28 01:32:51 2018
1,20min,21.8mi,via I-405 S,Fri Sep 28 01:32:57 2018
2,27min,26.0mi,via CA-91 E,Fri Sep 28 01:32:57 2018
1,20min,21.8mi,via I-405 S,Fri Sep 28 01:33:05 2018
2,27min,26.0mi,via CA-91 E,Fri Sep 28 01:33:05 2018
1,20min,21.8mi,via I-405 S,Fri Sep 28 01:33:12 2018
2,27min,26.0mi,via CA-91 E,Fri Sep 28 01:33:12 2018
1,20min,21.8mi,via I-405 S,Fri Sep 28 01:33:21 2018
2,27min,26.0mi,via CA-91 E,Fri Sep 28 01:33:21 2018
1,20min,21.8mi,via I-405 S,Fri Sep 28 01:33:28 2018
2,27min,26.0mi,via CA-91 E,Fri Sep 28 01:33:28 2018
1,20min,21.8mi,via I-405 S,Fri Sep 28 01:33:35 2018
2,27min,26.0mi,via CA-91 E,Fri Sep 28 01:33:35 2018
1,20min,21.8mi,via I-405 S,Fri Sep 28 01:33:47 2018
2,27min,26.0mi,via CA-91 E,Fri Sep 28 01:33:47 2018
1,20min,21.8mi,via I-405 S,Fri Sep 28 01:33:54 2018
2,27min,26.0mi,via CA-91 E,Fri Sep 28 01:33:54 2018
1,20min,21.8mi,via I-405 S,Fri Sep 28 01:34:03 2018
2,27min,26.0mi,via CA-91 E,Fri Sep 28 01:34:03 2018
1,20min,21.8mi,via I-405 S,Fri Sep 28 01:34:09 2018
2,27min,26.0mi,via CA-91 E,Fri Sep 28 01:34:09 2018
1,20min,21.8mi,via I-405 S,Fri Sep 28 01:34:16 2018
