Route Number,ETA,Distance,Route,Time
2,30 min,28 mi,"via CA-91, I-405",Fri Sep 28 01:25:46 2018
1,22 min,22 mi,via I-405,Fri Sep 28 01:25:53 2018
2,30 min,28 mi,"via CA-91, I-405",Fri Sep 28 01:25:53 2018
1,22 min,22 mi,via I-405,Fri Sep 28 01:26:01 2018
2,30 min,28 mi,"via CA-91, I-405",Fri Sep 28 01:26:01 2018
1,22 min,22 mi,via I-405,Fri Sep 28 01:26:08 2018
2,30 min,28 mi,"via CA-91, I-405",Fri Sep 28 01:26:08 2018
1,22 min,22 mi,via I-405,Fri Sep 28 01:26:14 2018
2,30 min,28 mi,"via CA-91, I-405",Fri Sep 28 01:26:14 2018
1,22 min,22 mi,via I-405,Fri Sep 28 01:26:24 2018
2,30 min,28 mi,"via CA-91, I-405",Fri Sep 28 01:26:24 2018
1,22 min,22 mi,via I-405,Fri Sep 28 01:26:31 2018
2,30 min,28 mi,"via CA-91, I-405",Fri Sep 28 01:26:31 2018
1,22 min,22 mi,via I-405,Fri Sep 28 01:26:38 2018
2,30 min,28 mi,"via CA-91, I-405",Fri Sep 28 01:26:38 2018
1,22 min,22 mi,via I-405,Fri Sep 28 01:26:45 2018
2,30 min,28 mi,"via CA-91, I-405",Fri Sep 28 01:26:45 2018
1,22 min,22 mi,via I-405,Fri Sep 28 01:26:52 2018
2,30 min,28 mi,"via CA-91, I-405",Fri Sep 28 01:26:52 2018
1,22 min,22 mi,via I-405,Fri Sep 28 01:26:59 2018
2,30 min,28 mi,"via CA-91, I-405",Fri Sep 28 01:26:59 2018
1,22 min,22 mi,via I-405,Fri Sep 28 01:27:06 2018
2,30 min,28 mi,"via CA-91, I-405",Fri Sep 28 01:27:06 2018
1,22 min,22 mi,via I-405,Fri Sep 28 01:27:13 2018
2,30 min,28 mi,"via CA-91, I-405",Fri Sep 28 01:27:13 2018
1,22 min,22 mi,via I-405,Fri Sep 28 01:27:20 2018
2,30 min,28 mi,"via CA-91, I-405",Fri Sep 28 01:27:20 2018
1,22 min,22 mi,via I-405,Fri Sep 28 01:27:27 2018
2,30 min,28 mi,"via CA-91, I-405",Fri Sep 28 01:27:27 2018
1,22 min,22 mi,via I-405,Fri Sep 28 01:27:33 2018
2,30 min,28 mi,"via CA-91, I-405",Fri Sep 28 01:27:33 2018
1,22 min,22 mi,via I-405,Fri Sep 28 01:27:41 2018
2,30 min,28 mi,"via CA-91, I-405",Fri Sep 28 01:27:41 2018
1,22 min,22 mi,via I-405,Fri Sep 28 01:27:49 2018
2,30 min,28 mi,"via CA-91, I-405",Fri Sep 28 01:27:49 2018
1,22 min,22 mi,via I-405,Fri Sep 28 01:27:55 2018
2,30 min,28 mi,"via CA-91, I-405",Fri Sep 28 01:27:55 2018
1,22 min,22 mi,via I-405,Fri Sep 28 01:28:05 2018
2,30 min,28 mi,"via CA-91, I-405",Fri Sep 28 01:28:05 2018
1,22 min,22 mi,via I-405,Fri Sep 28 01:28:12 2018
2,30 min,28 mi,"via CA-91, I-405",Fri Sep 28 01:28:12 2018
1,22 min,22 mi,via I-405,Fri Sep 28 01:28:19 2018
2,30 min,28 mi,"via CA-91, I-405",Fri Sep 28 01:28:19 2018
1,22 min,22 mi,via I-405,Fri Sep 28 01:28:25 2018
2,30 min,28 mi,"via CA-91, I-405",Fri Sep 28 01:28:25 2018
1,22 min,22 mi,via I-405,Fri Sep 28 01:28:32 2018
2,30 min,28 mi,"via CA-91, I-405",Fri Sep 28 01:28:32 2018
1,22 min,22 mi,via I-405,Fri Sep 28 01:28:39 2018
2,30 min,28 mi,"via CA-91, I-405",Fri Sep 28 01:28:39 2018
1,22 min,22 mi,via I-405,Fri Sep 28 01:28:48 2018
2,30 min,28 mi,"via CA-91, I-405",Fri Sep 28 01:28:48 2018
1,22 min,22 mi,via I-405,Fri Sep 28 01:28:55 2018
2,30 min,28 mi,"via CA-91, I-405",Fri Sep 28 01:28:55 2018
1,22 min,22 mi,via I-405,Fri Sep 28 01:29:02 2018
2,30 min,28 mi,"via CA-91, I-405",Fri Sep 28 01:29:02 2018
1,22 min,22 mi,via I-405,Fri Sep 28 01:29:11 2018
2,30 min,28 mi,"via CA-91, I-405",Fri Sep 28 01:29:11 2018
1,22 min,22 mi,via I-405,Fri Sep 28 01:29:18 2018
2,30 min,28 mi,"via CA-91, I-405",Fri Sep 28 01:29:18 2018
1,22 min,22 mi,via I-405,Fri Sep 28 01:29:25 2018
2,30 min,28 mi,"via CA-91, I-405",Fri Sep 28 01:29:25 2018
1,22 min,22 mi,via I-405,Fri Sep 28 01:29:32 2018
2,30 min,28 mi,"via CA-91, I-405",Fri Sep 28 01:29:32 2018
1,22 min,22 mi,via I-405,Fri Sep 28 01:29:39 2018
2,30 min,28 mi,"via CA-91, I-405",Fri Sep 28 01:29:39 2018
1,22 min,22 mi,via I-405,Fri Sep 28 01:29:46 2018
2,30 min,28 mi,"via CA-91, I-405",Fri Sep 28 01:29:46 2018
1,22 min,22 mi,via I-405,Fri Sep 28 01:29:53 2018
2,30 min,28 mi,"via CA-91, I-405",Fri Sep 28 01:29:53 2018
