Route Number,ETA,Distance,Route,Time
3,29 min,29.3 miles,I-405 S Carson; SR-91 E HOV; I-605 S,Wed Oct  3 23:29:49 2018
1,29 min,27.4 miles,I-405 S Torrance; SR-91 E Bellflower; I-605 S,Wed Oct  3 23:30:11 2018
2,32 min,22.3 miles,I-405 S Carson; E Willow St Signal Hill,Wed Oct  3 23:30:11 2018
3,29 min,29.3 miles,I-405 S Carson; SR-91 E HOV; I-605 S,Wed Oct  3 23:30:11 2018
1,29 min,27.4 miles,I-405 S Torrance; SR-91 E Bellflower; I-605 S,Wed Oct  3 23:30:34 2018
2,32 min,22.3 miles,I-405 S Carson; E Willow St Signal Hill,Wed Oct  3 23:30:34 2018
3,29 min,29.3 miles,I-405 S Carson; SR-91 E HOV; I-605 S,Wed Oct  3 23:30:34 2018
1,29 min,27.4 miles,I-405 S Torrance; SR-91 E Bellflower; I-605 S,Wed Oct  3 23:30:56 2018
2,32 min,22.3 miles,I-405 S Carson; E Willow St Signal Hill,Wed Oct  3 23:30:56 2018
3,29 min,29.3 miles,I-405 S Carson; SR-91 E HOV; I-605 S,Wed Oct  3 23:30:56 2018
1,29 min,27.4 miles,I-405 S Torrance; SR-91 E Bellflower; I-605 S,Wed Oct  3 23:31:18 2018
2,32 min,22.3 miles,I-405 S Carson; E Willow St Signal Hill,Wed Oct  3 23:31:18 2018
3,29 min,29.3 miles,I-405 S Carson; SR-91 E HOV; I-605 S,Wed Oct  3 23:31:18 2018
1,29 min,27.4 miles,I-405 S Torrance; SR-91 E Bellflower; I-605 S,Wed Oct  3 23:31:40 2018
2,32 min,22.3 miles,I-405 S Carson; E Willow St Signal Hill,Wed Oct  3 23:31:40 2018
3,29 min,29.3 miles,I-405 S Carson; SR-91 E HOV; I-605 S,Wed Oct  3 23:31:40 2018
1,29 min,27.4 miles,I-405 S Torrance; SR-91 E Bellflower; I-605 S,Wed Oct  3 23:32:02 2018
2,32 min,22.3 miles,I-405 S Carson; E Willow St Signal Hill,Wed Oct  3 23:32:02 2018
3,29 min,29.3 miles,I-405 S Carson; SR-91 E HOV; I-605 S,Wed Oct  3 23:32:02 2018
1,29 min,27.4 miles,I-405 S Torrance; SR-91 E Bellflower; I-605 S,Wed Oct  3 23:32:24 2018
2,32 min,22.3 miles,I-405 S Carson; E Willow St Signal Hill,Wed Oct  3 23:32:24 2018
3,29 min,29.3 miles,I-405 S Carson; SR-91 E HOV; I-605 S,Wed Oct  3 23:32:24 2018
1,29 min,22.1 miles,I-405 S Long Beach,Wed Oct  3 23:32:47 2018
2,33 min,29.7 miles,I-105 E; I-605 S,Wed Oct  3 23:32:47 2018
3,27 min,27.3 miles,SR-91 E HOV,Wed Oct  3 23:32:47 2018
1,28 min,22.1 miles,I-405 S Long Beach,Wed Oct  3 23:33:09 2018
2,33 min,29.7 miles,I-105 E; I-605 S,Wed Oct  3 23:33:09 2018
3,27 min,27.3 miles,SR-91 E HOV,Wed Oct  3 23:33:09 2018
1,29 min,22.1 miles,I-405 S Long Beach,Wed Oct  3 23:33:31 2018
2,33 min,29.7 miles,I-105 E; I-605 S,Wed Oct  3 23:33:31 2018
3,27 min,27.3 miles,SR-91 E HOV,Wed Oct  3 23:33:31 2018
1,28 min,22.1 miles,I-405 S Long Beach,Wed Oct  3 23:33:53 2018
2,33 min,29.7 miles,I-105 E; I-605 S,Wed Oct  3 23:33:53 2018
3,27 min,27.3 miles,SR-91 E HOV,Wed Oct  3 23:33:53 2018
1,28 min,22.1 miles,I-405 S Long Beach,Wed Oct  3 23:34:15 2018
2,33 min,29.7 miles,I-105 E; I-605 S,Wed Oct  3 23:34:15 2018
3,27 min,27.3 miles,SR-91 E HOV,Wed Oct  3 23:34:15 2018
1,28 min,22.1 miles,I-405 S Long Beach,Wed Oct  3 23:34:38 2018
2,33 min,29.7 miles,I-105 E; I-605 S,Wed Oct  3 23:34:38 2018
3,27 min,27.3 miles,SR-91 E HOV,Wed Oct  3 23:34:38 2018
1,28 min,22.1 miles,I-405 S Long Beach,Wed Oct  3 23:35:00 2018
2,33 min,29.7 miles,I-105 E; I-605 S,Wed Oct  3 23:35:00 2018
3,27 min,27.3 miles,SR-91 E HOV,Wed Oct  3 23:35:00 2018
1,28 min,22.1 miles,I-405 S Long Beach,Wed Oct  3 23:35:22 2018
2,33 min,29.7 miles,I-105 E; I-605 S,Wed Oct  3 23:35:22 2018
3,27 min,27.3 miles,SR-91 E HOV,Wed Oct  3 23:35:22 2018
1,28 min,22.1 miles,I-405 S Long Beach,Wed Oct  3 23:35:44 2018
2,32 min,29.7 miles,I-105 E; I-605 S,Wed Oct  3 23:35:44 2018
3,27 min,27.3 miles,SR-91 E HOV,Wed Oct  3 23:35:44 2018
1,28 min,22.1 miles,I-405 S Long Beach,Wed Oct  3 23:36:06 2018
2,32 min,29.7 miles,I-105 E; I-605 S,Wed Oct  3 23:36:06 2018
3,27 min,27.3 miles,SR-91 E HOV,Wed Oct  3 23:36:06 2018
1,28 min,22.1 miles,E Spring St Signal Hill; I-405 S Long Beach,Wed Oct  3 23:36:28 2018
2,32 min,29.7 miles,I-105 E; I-605 S,Wed Oct  3 23:36:28 2018
3,27 min,27.3 miles,I-405 S Lawndale; SR-91 E HOV,Wed Oct  3 23:36:28 2018
1,28 min,22.1 miles,E Spring St Signal Hill; I-405 S Long Beach,Wed Oct  3 23:36:51 2018
2,32 min,29.7 miles,I-105 E; I-605 S,Wed Oct  3 23:36:51 2018
3,27 min,27.3 miles,I-405 S Lawndale; SR-91 E HOV,Wed Oct  3 23:36:51 2018
1,28 min,22.1 miles,E Spring St Signal Hill; I-405 S Long Beach,Wed Oct  3 23:37:13 2018
2,32 min,29.7 miles,I-105 E; I-605 S,Wed Oct  3 23:37:13 2018
3,27 min,27.3 miles,I-405 S Lawndale; SR-91 E HOV,Wed Oct  3 23:37:13 2018
1,28 min,22.1 miles,E Spring St Signal Hill; I-405 S Long Beach,Wed Oct  3 23:37:35 2018
2,32 min,29.7 miles,I-105 E; I-605 S,Wed Oct  3 23:37:35 2018
3,27 min,27.3 miles,I-405 S Lawndale; SR-91 E HOV,Wed Oct  3 23:37:35 2018
1,28 min,22.1 miles,E Spring St Signal Hill; I-405 S Long Beach,Wed Oct  3 23:37:57 2018
2,32 min,29.7 miles,I-105 E; I-605 S,Wed Oct  3 23:37:57 2018
3,27 min,27.3 miles,I-405 S Lawndale; SR-91 E HOV,Wed Oct  3 23:37:57 2018
1,28 min,22.1 miles,I-405 S Long Beach,Wed Oct  3 23:38:19 2018
2,32 min,29.7 miles,I-105 E; I-605 S,Wed Oct  3 23:38:19 2018
3,27 min,27.3 miles,SR-91 E HOV,Wed Oct  3 23:38:19 2018
1,28 min,22.1 miles,I-405 S Long Beach,Wed Oct  3 23:38:41 2018
2,32 min,29.7 miles,I-105 E; I-605 S,Wed Oct  3 23:38:41 2018
3,27 min,27.3 miles,SR-91 E HOV,Wed Oct  3 23:38:41 2018
1,28 min,22.1 miles,I-405 S Long Beach,Wed Oct  3 23:39:03 2018
2,32 min,29.7 miles,I-105 E; I-605 S,Wed Oct  3 23:39:03 2018
3,27 min,27.3 miles,SR-91 E HOV,Wed Oct  3 23:39:03 2018
1,28 min,22.1 miles,I-405 S Long Beach,Wed Oct  3 23:39:25 2018
2,32 min,29.7 miles,I-105 E; I-605 S,Wed Oct  3 23:39:25 2018
3,27 min,27.3 miles,SR-91 E HOV,Wed Oct  3 23:39:25 2018
1,28 min,22.1 miles,I-405 S Long Beach,Wed Oct  3 23:39:47 2018
2,32 min,29.7 miles,I-105 E; I-605 S,Wed Oct  3 23:39:47 2018
3,27 min,27.3 miles,SR-91 E HOV,Wed Oct  3 23:39:47 2018
1,28 min,22.1 miles,I-405 S Long Beach,Wed Oct  3 23:40:10 2018
2,32 min,29.7 miles,I-105 E; I-605 S,Wed Oct  3 23:40:10 2018
3,27 min,27.3 miles,SR-91 E HOV,Wed Oct  3 23:40:10 2018
1,28 min,22.1 miles,I-405 S Long Beach,Wed Oct  3 23:40:32 2018
2,32 min,29.7 miles,I-105 E; I-605 S,Wed Oct  3 23:40:32 2018
3,27 min,27.3 miles,SR-91 E HOV,Wed Oct  3 23:40:32 2018
1,28 min,22.1 miles,I-405 S Long Beach,Wed Oct  3 23:40:54 2018
2,32 min,29.7 miles,I-105 E; I-605 S,Wed Oct  3 23:40:54 2018
3,27 min,27.3 miles,SR-91 E HOV,Wed Oct  3 23:40:54 2018
1,28 min,22.1 miles,I-405 S Long Beach,Wed Oct  3 23:41:16 2018
2,32 min,29.7 miles,I-105 E; I-605 S,Wed Oct  3 23:41:16 2018
