routenum,eta,distance,route,time
1,27 min,21.8 miles,I-405 S Long Beach,Wed Sep 26 00:57:54 2018
2,32 min,27.3 miles,I-405 S Torrance; SR-91 E Bellflower; I-605 S,Wed Sep 26 00:57:54 2018
3,24 min,21.6 miles,"I-405 S, I-405 S HOV Carson",Wed Sep 26 00:57:54 2018
1,27 min,21.8 miles,I-405 S Long Beach,Wed Sep 26 00:58:23 2018
2,32 min,27.3 miles,I-405 S Torrance; SR-91 E Bellflower; I-605 S,Wed Sep 26 00:58:23 2018
3,24 min,21.6 miles,"I-405 S, I-405 S HOV Carson",Wed Sep 26 00:58:23 2018
1,26 min,21.8 miles,I-405 S Long Beach,Wed Sep 26 00:58:56 2018
2,32 min,27.3 miles,I-405 S Torrance; SR-91 E Bellflower; I-605 S,Wed Sep 26 00:58:56 2018
3,24 min,21.6 miles,"I-405 S, I-405 S HOV Carson",Wed Sep 26 00:58:56 2018
1,26 min,21.8 miles,I-405 S Long Beach,Wed Sep 26 00:59:35 2018
2,32 min,27.3 miles,I-405 S Torrance; SR-91 E Bellflower; I-605 S,Wed Sep 26 00:59:35 2018
3,24 min,21.6 miles,"I-405 S, I-405 S HOV Carson",Wed Sep 26 00:59:35 2018
1,26 min,21.8 miles,I-405 S Long Beach,Wed Sep 26 01:00:16 2018
2,32 min,27.3 miles,I-405 S Torrance; SR-91 E Bellflower; I-605 S,Wed Sep 26 01:00:16 2018
3,24 min,21.6 miles,"I-405 S, I-405 S HOV Carson",Wed Sep 26 01:00:16 2018
1,26 min,21.8 miles,I-405 S Long Beach,Wed Sep 26 01:00:54 2018
2,32 min,27.3 miles,I-405 S Torrance; SR-91 E Bellflower; I-605 S,Wed Sep 26 01:00:54 2018
3,24 min,21.6 miles,"I-405 S, I-405 S HOV Carson",Wed Sep 26 01:00:54 2018
1,26 min,21.8 miles,I-405 S Long Beach,Wed Sep 26 01:01:33 2018
2,32 min,27.3 miles,I-405 S Torrance; SR-91 E Bellflower; I-605 S,Wed Sep 26 01:01:33 2018
3,23 min,21.6 miles,"I-405 S, I-405 S HOV Carson",Wed Sep 26 01:01:33 2018
1,26 min,21.8 miles,I-405 S Long Beach,Wed Sep 26 01:02:05 2018
2,32 min,27.3 miles,I-405 S Torrance; SR-91 E Bellflower; I-605 S,Wed Sep 26 01:02:05 2018
3,23 min,21.6 miles,"I-405 S, I-405 S HOV Carson",Wed Sep 26 01:02:05 2018
1,26 min,21.8 miles,I-405 S Long Beach,Wed Sep 26 01:02:37 2018
2,32 min,27.3 miles,I-405 S Torrance; SR-91 E Bellflower; I-605 S,Wed Sep 26 01:02:37 2018
3,24 min,21.6 miles,"I-405 S, I-405 S HOV Carson",Wed Sep 26 01:02:37 2018
1,26 min,21.8 miles,I-405 S Long Beach,Wed Sep 26 01:03:15 2018
2,32 min,27.3 miles,I-405 S Torrance; SR-91 E Bellflower; I-605 S,Wed Sep 26 01:03:15 2018
3,24 min,21.6 miles,"I-405 S, I-405 S HOV Carson",Wed Sep 26 01:03:15 2018
1,26 min,21.8 miles,I-405 S Long Beach,Wed Sep 26 01:03:49 2018
