routenum,eta,distance,route,time
1,"17 min","21 miles","I-15 S","Fri Sep 28 00:34:36 2018"
2,"21 min","21.4 miles","I-15 S Temecula; Old Hwy 395 Fallbrook","Fri Sep 28 00:34:36 2018"
1,"17 min","21 miles","I-15 S","Fri Sep 28 00:34:50 2018"
2,"21 min","21.4 miles","I-15 S Temecula; Old Hwy 395 Fallbrook","Fri Sep 28 00:34:50 2018"
1,"17 min","21 miles","I-15 S","Fri Sep 28 07:48:12 2018"
2,"21 min","21.4 miles","I-15 S Temecula; Old Hwy 395 Fallbrook","Fri Sep 28 07:48:12 2018"
1,"18 min","21 miles","I-15 S","Fri Sep 28 07:48:25 2018"
2,"21 min","21.4 miles","I-15 S Temecula; Old Hwy 395 Fallbrook","Fri Sep 28 07:48:25 2018"
1,"18 min","21 miles","I-15 S","Fri Sep 28 07:48:37 2018"
2,"21 min","21.4 miles","I-15 S Temecula; Old Hwy 395 Fallbrook","Fri Sep 28 07:48:37 2018"
1,"18 min","21 miles","I-15 S","Fri Sep 28 07:48:50 2018"
2,"21 min","21.4 miles","I-15 S Temecula; Old Hwy 395 Fallbrook","Fri Sep 28 07:48:50 2018"
1,"18 min","21 miles","I-15 S","Fri Sep 28 07:49:02 2018"
2,"21 min","21.4 miles","I-15 S Temecula; Old Hwy 395 Fallbrook","Fri Sep 28 07:49:02 2018"
1,"18 min","21 miles","I-15 S","Fri Sep 28 07:49:14 2018"
2,"21 min","21.4 miles","I-15 S Temecula; Old Hwy 395 Fallbrook","Fri Sep 28 07:49:14 2018"
1,"18 min","21 miles","I-15 S","Fri Sep 28 07:49:27 2018"
2,"22 min","21.4 miles","I-15 S Temecula; Old Hwy 395 Fallbrook","Fri Sep 28 07:49:27 2018"
1,"18 min","21 miles","I-15 S","Fri Sep 28 07:49:39 2018"
2,"22 min","21.4 miles","I-15 S Temecula; Old Hwy 395 Fallbrook","Fri Sep 28 07:49:39 2018"
1,"18 min","21 miles","I-15 S","Fri Sep 28 07:49:51 2018"
2,"22 min","21.4 miles","I-15 S Temecula; Old Hwy 395 Fallbrook","Fri Sep 28 07:49:51 2018"
1,"17 min","21 miles","I-15 S","Fri Sep 28 07:50:04 2018"
2,"21 min","21.4 miles","I-15 S Temecula; Old Hwy 395 Fallbrook","Fri Sep 28 07:50:04 2018"
1,"17 min","21 miles","I-15 S","Fri Sep 28 07:50:16 2018"
2,"21 min","21.4 miles","I-15 S Temecula; Old Hwy 395 Fallbrook","Fri Sep 28 07:50:16 2018"
1,"17 min","21 miles","I-15 S","Fri Sep 28 07:50:30 2018"
2,"21 min","21.4 miles","I-15 S Temecula; Old Hwy 395 Fallbrook","Fri Sep 28 07:50:30 2018"
1,"17 min","21 miles","I-15 S","Fri Sep 28 07:50:42 2018"
2,"21 min","21.4 miles","I-15 S Temecula; Old Hwy 395 Fallbrook","Fri Sep 28 07:50:42 2018"
1,"17 min","21 miles","I-15 S","Fri Sep 28 07:50:54 2018"
2,"21 min","21.4 miles","I-15 S Temecula; Old Hwy 395 Fallbrook","Fri Sep 28 07:50:54 2018"
1,"17 min","21 miles","I-15 S","Fri Sep 28 07:51:06 2018"
2,"21 min","21.4 miles","I-15 S Temecula; Old Hwy 395 Fallbrook","Fri Sep 28 07:51:06 2018"
1,"18 min","21 miles","I-15 S","Fri Sep 28 07:51:18 2018"
2,"21 min","21.4 miles","I-15 S Temecula; Old Hwy 395 Fallbrook","Fri Sep 28 07:51:18 2018"
1,"18 min","21 miles","I-15 S","Fri Sep 28 07:51:31 2018"
2,"21 min","21.4 miles","I-15 S Temecula; Old Hwy 395 Fallbrook","Fri Sep 28 07:51:31 2018"
1,"18 min","21 miles","I-15 S","Fri Sep 28 07:51:43 2018"
2,"21 min","21.4 miles","I-15 S Temecula; Old Hwy 395 Fallbrook","Fri Sep 28 07:51:43 2018"
1,"18 min","21 miles","I-15 S","Fri Sep 28 07:51:56 2018"
2,"21 min","21.4 miles","I-15 S Temecula; Old Hwy 395 Fallbrook","Fri Sep 28 07:51:56 2018"
1,"18 min","21 miles","I-15 S","Fri Sep 28 07:52:08 2018"
2,"21 min","21.4 miles","I-15 S Temecula; Old Hwy 395 Fallbrook","Fri Sep 28 07:52:08 2018"
1,"18 min","21 miles","I-15 S","Fri Sep 28 07:52:21 2018"
2,"22 min","21.4 miles","I-15 S Temecula; Old Hwy 395 Fallbrook","Fri Sep 28 07:52:21 2018"
1,"18 min","21 miles","I-15 S","Fri Sep 28 07:52:33 2018"
2,"21 min","21.4 miles","I-15 S Temecula; Old Hwy 395 Fallbrook","Fri Sep 28 07:52:33 2018"
1,"18 min","21 miles","I-15 S","Fri Sep 28 07:52:46 2018"
2,"21 min","21.4 miles","I-15 S Temecula; Old Hwy 395 Fallbrook","Fri Sep 28 07:52:46 2018"
1,"18 min","21 miles","I-15 S","Fri Sep 28 07:52:58 2018"
2,"21 min","21.4 miles","I-15 S Temecula; Old Hwy 395 Fallbrook","Fri Sep 28 07:52:58 2018"
1,"18 min","21 miles","I-15 S","Fri Sep 28 07:53:10 2018"
2,"21 min","21.4 miles","I-15 S Temecula; Old Hwy 395 Fallbrook","Fri Sep 28 07:53:10 2018"
1,"18 min","21 miles","I-15 S","Fri Sep 28 07:53:23 2018"
2,"22 min","21.4 miles","I-15 S Temecula; Old Hwy 395 Fallbrook","Fri Sep 28 07:53:23 2018"
1,"18 min","21 miles","I-15 S","Fri Sep 28 07:53:37 2018"
2,"22 min","21.4 miles","I-15 S Temecula; Old Hwy 395 Fallbrook","Fri Sep 28 07:53:37 2018"
1,"18 min","21 miles","I-15 S","Fri Sep 28 07:53:52 2018"
2,"22 min","21.4 miles","I-15 S Temecula; Old Hwy 395 Fallbrook","Fri Sep 28 07:53:52 2018"
1,"18 min","21 miles","I-15 S","Fri Sep 28 07:54:04 2018"
2,"22 min","21.4 miles","I-15 S Temecula; Old Hwy 395 Fallbrook","Fri Sep 28 07:54:04 2018"
1,"18 min","21 miles","I-15 S","Fri Sep 28 07:54:16 2018"
2,"22 min","21.4 miles","I-15 S Temecula; Old Hwy 395 Fallbrook","Fri Sep 28 07:54:16 2018"
1,"18 min","21 miles","I-15 S","Fri Sep 28 07:54:28 2018"
2,"22 min","21.4 miles","I-15 S Temecula; Old Hwy 395 Fallbrook","Fri Sep 28 07:54:28 2018"
1,"18 min","21 miles","I-15 S","Fri Sep 28 07:54:41 2018"
2,"22 min","21.4 miles","I-15 S Temecula; Old Hwy 395 Fallbrook","Fri Sep 28 07:54:41 2018"
1,"18 min","21 miles","I-15 S","Fri Sep 28 07:54:53 2018"
2,"22 min","21.4 miles","I-15 S Temecula; Old Hwy 395 Fallbrook","Fri Sep 28 07:54:53 2018"
1,"18 min","21 miles","I-15 S","Fri Sep 28 07:55:06 2018"
