routenum,eta,distance,route,time
1,30min,16.4mi,"via I-94 W","Wed Sep 26 11:58:18 2018"
1,30min,16.4mi,"via I-94 W","Wed Sep 26 11:58:31 2018"
1,30min,16.4mi,"via I-94 W","Wed Sep 26 11:58:36 2018"
1,29min,16.4mi,"via I-94 W","Wed Sep 26 11:58:42 2018"
1,30min,16.4mi,"via I-94 W","Wed Sep 26 11:58:49 2018"
1,29min,16.4mi,"via I-94 W","Wed Sep 26 11:58:55 2018"
1,29min,16.4mi,"via I-94 W","Wed Sep 26 11:59:02 2018"
1,30min,16.4mi,"via I-94 W","Wed Sep 26 11:59:09 2018"
1,29min,16.4mi,"via I-94 W","Wed Sep 26 11:59:15 2018"
1,29min,16.4mi,"via I-94 W","Wed Sep 26 11:59:21 2018"
1,29min,16.4mi,"via I-94 W","Wed Sep 26 11:59:28 2018"
1,29min,16.4mi,"via I-94 W","Wed Sep 26 11:59:35 2018"
1,29min,16.4mi,"via I-94 W","Wed Sep 26 11:59:42 2018"
1,29min,16.4mi,"via I-94 W","Wed Sep 26 11:59:55 2018"
1,29min,16.4mi,"via I-94 W","Wed Sep 26 12:00:04 2018"
1,29min,16.4mi,"via I-94 W","Wed Sep 26 12:00:21 2018"
1,29min,16.4mi,"via I-94 W","Wed Sep 26 12:00:28 2018"
1,29min,16.4mi,"via I-94 W","Wed Sep 26 12:00:38 2018"
1,28min,16.4mi,"via I-94 W","Wed Sep 26 12:00:44 2018"
1,29min,16.4mi,"via I-94 W","Wed Sep 26 12:00:55 2018"
1,28min,16.4mi,"via I-94 W","Wed Sep 26 12:01:02 2018"
1,28min,16.4mi,"via I-94 W","Wed Sep 26 12:01:16 2018"
1,28min,16.4mi,"via I-94 W","Wed Sep 26 12:01:24 2018"
1,28min,16.4mi,"via I-94 W","Wed Sep 26 12:01:38 2018"
1,28min,16.4mi,"via I-94 W","Wed Sep 26 12:01:46 2018"
1,28min,16.4mi,"via I-94 W","Wed Sep 26 12:01:54 2018"
1,28min,16.4mi,"via I-94 W","Wed Sep 26 12:02:01 2018"
1,28min,16.4mi,"via I-94 W","Wed Sep 26 12:02:08 2018"
1,28min,16.4mi,"via I-94 W","Wed Sep 26 12:02:20 2018"
1,28min,16.4mi,"via I-94 W","Wed Sep 26 12:02:27 2018"
1,28min,16.4mi,"via I-94 W","Wed Sep 26 12:02:40 2018"
1,28min,16.4mi,"via I-94 W","Wed Sep 26 12:02:49 2018"
1,28min,16.4mi,"via I-94 W","Wed Sep 26 12:02:57 2018"
1,28min,16.4mi,"via I-94 W","Wed Sep 26 12:03:25 2018"
1,28min,16.4mi,"via I-94 W","Wed Sep 26 12:03:34 2018"
1,28min,16.4mi,"via I-94 W","Wed Sep 26 12:03:40 2018"
1,28min,16.4mi,"via I-94 W","Wed Sep 26 12:03:59 2018"
1,28min,16.4mi,"via I-94 W","Wed Sep 26 12:04:11 2018"
1,28min,16.4mi,"via I-94 W","Wed Sep 26 12:04:20 2018"
1,28min,16.4mi,"via I-94 W","Wed Sep 26 12:04:29 2018"
1,28min,16.4mi,"via I-94 W","Wed Sep 26 12:04:36 2018"
1,28min,16.4mi,"via I-94 W","Wed Sep 26 12:04:44 2018"
1,28min,16.4mi,"via I-94 W","Wed Sep 26 12:04:53 2018"
1,27min,16.4mi,"via I-94 W","Wed Sep 26 12:05:00 2018"
1,27min,16.4mi,"via I-94 W","Wed Sep 26 12:05:09 2018"
1,27min,16.4mi,"via I-94 W","Wed Sep 26 12:05:19 2018"
1,27min,16.4mi,"via I-94 W","Wed Sep 26 12:05:27 2018"
1,27min,16.4mi,"via I-94 W","Wed Sep 26 12:05:39 2018"
1,27min,16.4mi,"via I-94 W","Wed Sep 26 12:05:45 2018"
1,27min,16.4mi,"via I-94 W","Wed Sep 26 12:05:53 2018"
1,27min,16.4mi,"via I-94 W","Wed Sep 26 12:06:00 2018"
1,27min,16.4mi,"via I-94 W","Wed Sep 26 12:06:07 2018"
1,27min,16.4mi,"via I-94 W","Wed Sep 26 12:06:13 2018"
1,27min,16.4mi,"via I-94 W","Wed Sep 26 12:06:20 2018"
1,27min,16.4mi,"via I-94 W","Wed Sep 26 12:06:26 2018"
1,27min,16.4mi,"via I-94 W","Wed Sep 26 12:06:32 2018"
1,27min,16.4mi,"via I-94 W","Wed Sep 26 12:06:39 2018"
1,27min,16.4mi,"via I-94 W","Wed Sep 26 12:06:47 2018"
1,27min,16.4mi,"via I-94 W","Wed Sep 26 12:06:55 2018"
1,27min,16.4mi,"via I-94 W","Wed Sep 26 12:07:03 2018"
1,27min,16.4mi,"via I-94 W","Wed Sep 26 12:07:12 2018"
1,27min,16.4mi,"via I-94 W","Wed Sep 26 12:07:24 2018"
1,27min,16.4mi,"via I-94 W","Wed Sep 26 12:07:40 2018"
1,27min,16.4mi,"via I-94 W","Wed Sep 26 12:07:52 2018"
1,27min,16.4mi,"via I-94 W","Wed Sep 26 12:08:09 2018"
1,27min,16.4mi,"via I-94 W","Wed Sep 26 12:08:24 2018"
1,27min,16.4mi,"via I-94 W","Wed Sep 26 12:08:31 2018"
